pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-000030,12.984958,77.598247,F-07-01,D-0001,11,P-000026,LT-8m-Steel,W-11,560078,KSPDB-SD07-D-0001-30
P-000031,12.985005,77.59812,F-07-01,D-0001,11,P-000026,LT-9m-PCC,W-12,560078,KSPDB-SD07-D-0001-31
P-000032,12.984981,77.598072,F-07-01,D-0001,11,P-000027,LT-9m-PCC,W-92,560078,
P-000033,12.984971,77.598398,F-07-01,D-0001,12,P-000030,LT-8m-PCC,W-88,560078,KSPDB-SD07-D-0001-33
P-000034,12.98507,77.598133,F-07-01,D-0001,12,P-000031,LT-9m-PCC,W-53,560078,KSPDB-SD07-D-0001-34
P-000035,12.985138,77.59809,F-07-01,D-0001,12,P-000031,LT-9m-PCC,W-56,560078,KSPDB-SD07-D-0001-35
P-000036,12.98483,77.598117,F-07-01,D-0001,12,P-000032,LT-8m-PCC,W-80,560078,KSPDB-SD07-D-0001-36
P-000037,12.985211,77.598163,F-07-01,D-0001,13,P-000035,LT-8m-PCC,W-95,560078,KSPDB-SD07-D-0001-37
P-000038,12.985175,77.598235,F-07-01,D-0001,13,P-000035,LT-8m-Steel,W-91,560078,KSPDB-SD07-D-0001-38
P-000039,12.984976,77.598111,F-07-01,D-0001,13,P-000036,LT-8m-PCC,W-14,560078,KSPDB-SD07-D-0001-39
P-000040,12.984849,77.598062,F-07-01,D-0001,14,P-000039,LT-9m-PCC,W-77,560078,KSPDB-SD07-D-0001-40
P-000041,12.985063,77.598204,F-07-01,D-0001,14,P-000038,LT-9m-PCC,W-98,560078,KSPDB-SD07-D-0001-41
P-000042,12.985198,77.598196,F-07-01,D-0001,14,P-000038,LT-8m-Steel,W-68,560078,KSPDB-SD07-D-0001-42
P-000043,12.985335,77.598364,F-07-01,D-0001,15,P-000042,LT-9m-PCC,W-72,560078,KSPDB-SD07-D-0001-43
P-000044,12.984958,77.598044,F-07-01,D-0001,15,P-000041,LT-8m-Steel,W-79,560078,KSPDB-SD07-D-0001-44
P-000045,12.985245,77.598068,F-07-01,D-0001,15,P-000041,LT-9m-PCC,W-14,560078,KSPDB-SD07-D-0001-45
P-000046,12.985119,77.598051,F-07-01,D-0001,16,P-000044,LT-9m-PCC,W-10,560078,KSPDB-SD07-D-0001-46
P-000047,12.985434,77.597974,F-07-01,D-0001,16,P-000045,LT-8m-PCC,W-74,560078,KSPDB-SD07-D-0001-47
P-000048,12.985407,77.598081,F-07-01,D-0001,17,P-000047,LT-8m-PCC,W-19,560078,
P-000049,12.985587,77.598245,F-07-01,D-0001,18,P-000048,LT-9m-PCC,W-36,560078,KSPDB-SD07-D-0001-49
P-000050,12.985186,77.598019,F-07-01,D-0001,17,P-000046,LT-9m-PCC,W-61,560078,KSPDB-SD07-D-0001-50
P-000051,12.985406,77.598024,F-07-01,D-0001,17,P-000047,LT-8m-PCC,W-89,560078,
P-000052,12.985433,77.598182,F-07-01,D-0001,18,P-000051,LT-8m-Steel,W-80,560078,KSPDB-SD07-D-0001-52
P-000053,12.985308,77.598003,F-07-01,D-0001,18,P-000050,LT-9m-PCC,W-36,560078,KSPDB-SD07-D-0001-53
P-000054,12.985538,77.59786,F-07-01,D-0001,18,P-000051,LT-8m-PCC,W-34,,KSPDB-SD07-D-0001-54
P-000055,12.985208,77.598148,F-07-01,D-0001,19,P-000053,LT-9m-PCC,W-64,560078,KSPDB-SD07-D-0001-55
P-000056,12.985456,77.597755,F-07-01,D-0001,19,P-000054,LT-9m-PCC,W-36,560078,KSPDB-SD07-D-0001-56
P-000057,12.985435,77.597748,F-07-01,D-0001,19,P-000054,LT-8m-Steel,W-27,560078,KSPDB-SD07-D-0001-57
P-000058,12.985041,77.598273,F-07-01,D-0001,20,P-000055,LT-8m-Steel,W-44,560078,KSPDB-SD07-D-0001-58
P-000059,12.985346,77.597561,F-07-01,D-0001,20,P-000056,LT-8m-PCC,W-51,560078,KSPDB-SD07-D-0001-59
P-000060,12.985384,77.598108,F-07-01,D-0001,20,P-000055,LT-9m-PCC,W-24,560078,KSPDB-SD07-D-0001-60
P-000061,12.985304,77.597585,F-07-01,D-0001,21,P-000059,LT-9m-PCC,W-54,560078,KSPDB-SD07-D-0001-61
P-000062,12.985428,77.59767,F-07-01,D-0001,21,P-000059,LT-8m-PCC,W-64,560078,KSPDB-SD07-D-0001-62
P-000063,12.985467,77.597584,F-07-01,D-0001,22,P-000061,LT-8m-PCC,W-81,560078,KSPDB-SD07-D-0001-63
P-000064,12.985596,77.597526,F-07-01,D-0001,23,P-000063,LT-8m-PCC,W-13,560078,KSPDB-SD07-D-0001-64
P-000065,12.985283,77.597803,F-07-01,D-0001,22,P-000062,LT-9m-PCC,W-55,560078,KSPDB-SD07-D-0001-65
P-000066,12.985587,77.597631,F-07-01,D-0001,23,P-000063,LT-9m-PCC,W-95,560078,KSPDB-SD07-D-0001-66
P-000067,12.985549,77.59752,F-07-01,D-0001,24,P-000064,LT-9m-PCC,W-87,560078,
P-000068,12.985717,77.597474,F-07-01,D-0001,24,P-000064,LT-8m-Steel,W-53,560078,KSPDB-SD07-D-0001-68
P-000069,12.98567,77.597519,F-07-01,D-0001,25,P-000068,LT-8m-PCC,W-83,560078,KSPDB-SD07-D-0001-69
P-000070,12.985607,77.597392,F-07-01,D-0001,26,P-000069,LT-9m-PCC,W-75,560078,KSPDB-SD07-D-0001-70
P-000071,12.985767,77.597607,F-07-01,D-0001,24,P-000066,LT-8m-Steel,W-31,560078,KSPDB-SD07-D-0001-71
P-000072,12.985752,77.597463,F-07-01,D-0001,27,P-000070,LT-8m-Steel,W-17,560078,KSPDB-SD07-D-0001-72
P-000073,12.985557,77.59766,F-07-01,D-0001,28,P-000072,LT-9m-PCC,W-28,560078,KSPDB-SD07-D-0001-73
P-000074,12.985696,77.597505,F-07-01,D-0001,27,P-000070,LT-8m-PCC,W-93,560078,KSPDB-SD07-D-0001-74
P-000075,12.98566,77.597504,F-07-01,D-0001,29,P-000073,LT-8m-PCC,W-86,560078,KSPDB-SD07-D-0001-75
P-000076,12.985628,77.597367,F-07-01,D-0001,28,P-000074,LT-8m-Steel,W-68,560078,KSPDB-SD07-D-0001-76
P-000077,12.985596,77.597369,F-07-01,D-0001,28,P-000074,LT-9m-PCC,W-31,560078,KSPDB-SD07-D-0001-77
P-000078,12.98566,77.5974,F-07-01,D-0001,29,P-000077,LT-8m-Steel,W-33,560078,KSPDB-SD07-D-0001-78
P-000079,12.98572,77.597607,F-07-01,D-0001,30,P-000075,LT-8m-Steel,W-22,560078,KSPDB-SD07-D-0001-79
P-000080,12.985734,77.59733,F-07-01,D-0001,29,P-000077,LT-8m-PCC,W-41,560078,KSPDB-SD07-D-0001-80
P-000081,12.98554,77.597663,F-07-01,D-0001,31,P-000079,LT-8m-PCC,W-69,560078,KSPDB-SD07-D-0001-81
P-000082,12.985642,77.597653,F-07-01,D-0001,32,P-000081,LT-8m-Steel,W-69,560078,
P-000083,12.985694,77.597496,F-07-01,D-0001,33,P-000082,LT-8m-PCC,W-19,560078,KSPDB-SD07-D-0001-83
P-000084,12.985692,77.597505,F-07-01,D-0001,33,P-000082,LT-9m-PCC,W-85,560078,KSPDB-SD07-D-0001-84
P-000085,12.985575,77.597231,F-07-01,D-0001,30,P-000080,LT-8m-PCC,W-32,560078,KSPDB-SD07-D-0001-85
P-000086,12.985652,77.597615,F-07-01,D-0001,34,P-000083,LT-9m-PCC,W-44,560078,KSPDB-SD07-D-0001-86
P-000087,12.985785,77.597693,F-07-01,D-0001,33,P-000082,LT-8m-PCC,W-45,560078,KSPDB-SD07-D-0001-87
P-000088,12.985564,77.597542,F-07-01,D-0001,34,P-000084,LT-8m-Steel,W-10,560078,KSPDB-SD07-D-0001-88
P-000089,12.985622,77.597572,F-07-01,D-0001,34,P-000084,LT-8m-PCC,W-16,560078,
P-000090,12.985523,77.597517,F-07-01,D-0001,35,P-000089,LT-9m-PCC,W-43,560078,KSPDB-SD07-D-0001-90
P-000091,12.985664,77.597635,F-07-01,D-0001,36,P-000090,LT-8m-PCC,W-79,560078,KSPDB-SD07-D-0001-91
P-000092,12.985646,77.597756,F-07-01,D-0001,34,P-000087,LT-8m-Steel,W-52,560078,KSPDB-SD07-D-0001-92
P-000093,12.985355,77.597711,F-07-01,D-0001,36,P-000090,LT-8m-PCC,W-61,560078,KSPDB-SD07-D-0001-93
P-000094,12.985706,77.59754,F-07-01,D-0001,35,P-000089,LT-8m-Steel,W-92,560078,KSPDB-SD07-D-0001-94
P-000095,12.985821,77.597572,F-07-01,D-0001,37,P-000091,LT-9m-PCC,W-37,560078,KSPDB-SD07-D-0001-95
P-000096,12.985653,77.597651,F-07-01,D-0001,37,P-000091,LT-8m-Steel,W-93,560078,KSPDB-SD07-D-0001-96
P-000097,12.98546,77.597512,F-07-01,D-0001,37,P-000093,LT-9m-PCC,W-40,560078,KSPDB-SD07-D-0001-97
P-000098,12.974347,77.599754,F-07-05,D-0002,1,,LT-8m-PCC,W-30,560078,KSPDB-SD07-D-0002-98
P-000099,12.974522,77.599586,F-07-05,D-0002,2,P-000098,LT-9m-PCC,W-92,560078,KSPDB-SD07-D-0002-99
P-000100,12.974227,77.59957,F-07-05,D-0002,2,P-000098,LT-9m-PCC,W-41,560078,KSPDB-SD07-D-0002-100
P-000101,12.974416,77.599729,F-07-05,D-0002,3,P-000099,LT-8m-Steel,W-14,560078,KSPDB-SD07-D-0002-101
P-000102,12.974288,77.599927,F-07-05,D-0002,2,P-000098,LT-9m-PCC,W-25,560078,KSPDB-SD07-D-0002-102
P-000103,12.97433,77.600018,F-07-05,D-0002,3,P-000102,LT-8m-PCC,W-63,560078,KSPDB-SD07-D-0002-103
P-000104,12.974118,77.599478,F-07-05,D-0002,3,P-000100,LT-9m-PCC,W-61,560078,KSPDB-SD07-D-0002-104
P-000105,12.974505,77.599674,F-07-05,D-0002,4,P-000101,LT-8m-Steel,W-57,560078,KSPDB-SD07-D-0002-105
P-000106,12.974238,77.599759,F-07-05,D-0002,3,P-000102,LT-9m-PCC,W-12,560078,KSPDB-SD07-D-0002-106
P-000107,12.97448,77.600068,F-07-05,D-0002,4,P-000103,LT-9m-PCC,W-11,560078,
P-000108,12.974366,77.599974,F-07-05,D-0002,4,P-000103,LT-9m-PCC,W-93,560078,KSPDB-SD07-D-0002-108
P-000109,12.974153,77.599859,F-07-05,D-0002,4,P-000106,LT-8m-PCC,W-97,560078,KSPDB-SD07-D-0002-109
P-000110,12.974406,77.600005,F-07-05,D-0002,5,P-000107,LT-8m-Steel,W-42,560078,KSPDB-SD07-D-0002-110
P-000111,12.97442,77.600012,F-07-05,D-0002,5,P-000107,LT-8m-PCC,W-24,560078,KSPDB-SD07-D-0002-111
P-000112,12.974367,77.600024,F-07-05,D-0002,6,P-000111,LT-9m-PCC,W-43,560078,KSPDB-SD07-D-0002-112
P-000113,12.974313,77.600192,F-07-05,D-0002,6,P-000110,LT-9m-PCC,W-59,560078,KSPDB-SD07-D-0002-113
P-000114,12.974497,77.599945,F-07-05,D-0002,6,P-000111,LT-9m-PCC,W-66,560078,KSPDB-SD07-D-0002-114
P-000115,12.974423,77.600104,F-07-05,D-0002,6,P-000111,LT-9m-PCC,W-44,560078,KSPDB-SD07-D-0002-115
P-000116,12.974221,77.599981,F-07-05,D-0002,6,P-000111,LT-9m-PCC,W-83,560078,KSPDB-SD07-D-0002-116
P-000117,12.974265,77.599978,F-07-05,D-0002,7,P-000116,LT-8m-PCC,W-93,560078,KSPDB-SD07-D-0002-117
P-000118,12.974246,77.600205,F-07-05,D-0002,7,P-000113,LT-8m-Steel,W-15,560078,KSPDB-SD07-D-0002-118
P-000119,12.974202,77.600292,F-07-05,D-0002,8,P-000118,LT-9m-PCC,W-46,560078,
P-000120,12.974071,77.600122,F-07-05,D-0002,9,P-000119,LT-8m-PCC,W-61,560078,KSPDB-SD07-D-0002-120
P-000121,12.974267,77.600404,F-07-05,D-0002,9,P-000119,LT-8m-Steel,W-21,560078,KSPDB-SD07-D-0002-121
P-000122,12.974288,77.600231,F-07-05,D-0002,9,P-000119,LT-8m-PCC,W-75,560078,KSPDB-SD07-D-0002-122
P-000123,12.973905,77.599998,F-07-05,D-0002,10,P-000120,LT-8m-PCC,W-42,,KSPDB-SD07-D-0002-123
P-000124,12.97381,77.599798,F-07-05,D-0002,11,P-000123,LT-9m-PCC,W-16,560078,KSPDB-SD07-D-0002-124
P-000125,12.973778,77.599672,F-07-05,D-0002,12,P-000124,LT-9m-PCC,W-48,560078,KSPDB-SD07-D-0002-125
P-000126,12.973767,77.599914,F-07-05,D-0002,11,P-000123,LT-8m-PCC,W-64,560078,KSPDB-SD07-D-0002-126
P-000127,12.973628,77.599802,F-07-05,D-0002,12,P-000126,LT-8m-Steel,W-74,560078,KSPDB-SD07-D-0002-127
P-000128,12.973566,77.599865,F-07-05,D-0002,13,P-000127,LT-8m-Steel,W-83,560078,KSPDB-SD07-D-0002-128
P-000129,12.973591,77.599794,F-07-05,D-0002,13,P-000127,LT-8m-PCC,W-54,560078,KSPDB-SD07-D-0002-129
P-000130,12.973672,77.599907,F-07-05,D-0002,14,P-000128,LT-8m-Steel,W-73,560078,KSPDB-SD07-D-0002-130
P-000131,12.973862,77.599927,F-07-05,D-0002,12,P-000126,LT-9m-PCC,W-46,,KSPDB-SD07-D-0002-131
P-000132,12.974035,77.599786,F-07-05,D-0002,13,P-000131,LT-8m-PCC,W-65,560078,KSPDB-SD07-D-0002-132
P-000133,12.973407,77.599946,F-07-05,D-0002,14,P-000128,LT-8m-PCC,W-70,560078,KSPDB-SD07-D-0002-133
P-000134,12.973951,77.599802,F-07-05,D-0002,13,P-000131,LT-8m-PCC,W-68,560078,KSPDB-SD07-D-0002-134
P-000135,12.973923,77.599833,F-07-05,D-0002,14,P-000134,LT-8m-Steel,W-76,560078,KSPDB-SD07-D-0002-135
P-000136,12.973869,77.599669,F-07-05,D-0002,14,P-000134,LT-8m-Steel,W-52,560078,KSPDB-SD07-D-0002-136
P-000137,12.97347,77.600078,F-07-05,D-0002,15,P-000133,LT-9m-PCC,W-98,560078,KSPDB-SD07-D-0002-137
P-000138,12.973222,77.600097,F-07-05,D-0002,15,P-000133,LT-8m-PCC,W-47,560078,KSPDB-SD07-D-0002-138
P-000139,12.974089,77.599858,F-07-05,D-0002,14,P-000134,LT-8m-PCC,W-60,560078,KSPDB-SD07-D-0002-139
P-000140,12.973584,77.600176,F-07-05,D-0002,16,P-000137,LT-8m-Steel,W-65,560078,KSPDB-SD07-D-0002-140
P-000141,12.973956,77.59949,F-07-05,D-0002,15,P-000136,LT-8m-PCC,W-37,560078,KSPDB-SD07-D-0002-141
P-000142,12.97359,77.600134,F-07-05,D-0002,17,P-000140,LT-9m-PCC,W-27,560078,KSPDB-SD07-D-0002-142
P-000143,12.97376,77.599322,F-07-05,D-0002,16,P-000141,LT-8m-PCC,W-42,560078,KSPDB-SD07-D-0002-143
P-000144,12.97368,77.599169,F-07-05,D-0002,17,P-000143,LT-8m-Steel,W-35,560078,KSPDB-SD07-D-0002-144
P-000145,12.973492,77.600198,F-07-05,D-0002,17,P-000140,LT-9m-PCC,W-77,560078,KSPDB-SD07-D-0002-145
P-000146,12.973584,77.600331,F-07-05,D-0002,18,P-000145,LT-8m-PCC,W-60,560078,KSPDB-SD07-D-0002-146
P-000147,12.973943,77.599504,F-07-05,D-0002,17,P-000143,LT-9m-PCC,W-73,560078,KSPDB-SD07-D-0002-147
P-000148,12.973842,77.599234,F-07-05,D-0002,17,P-000143,LT-8m-Steel,W-70,560078,KSPDB-SD07-D-0002-148
P-000149,12.973466,77.600247,F-07-05,D-0002,19,P-000146,LT-9m-PCC,W-23,560078,KSPDB-SD07-D-0002-149
P-000150,12.973274,77.600112,F-07-05,D-0002,20,P-000149,LT-8m-PCC,W-57,560078,KSPDB-SD07-D-0002-150
P-000151,12.973378,77.600089,F-07-05,D-0002,21,P-000150,LT-8m-Steel,W-77,560078,KSPDB-SD07-D-0002-151
P-000152,12.973267,77.600229,F-07-05,D-0002,21,P-000150,LT-8m-Steel,W-41,560078,KSPDB-SD07-D-0002-152
P-000153,12.973464,77.600157,F-07-05,D-0002,21,P-000150,LT-9m-PCC,W-26,560078,KSPDB-SD07-D-0002-153
P-000154,12.969059,77.578917,F-07-03,D-0003,,,LT-8m-PCC,W-67,560078,KSPDB-SD07-D-0003-154
P-000155,12.969102,77.578753,F-07-03,D-0003,,,LT-8m-PCC,W-26,560078,
P-000156,12.969196,77.578647,F-07-03,D-0003,,,LT-8m-PCC,W-17,560078,KSPDB-SD07-D-0003-156
P-000157,12.969093,77.578462,F-07-03,D-0003,,,LT-9m-PCC,W-43,560078,KSPDB-SD07-D-0003-157
P-000158,12.969246,77.578671,F-07-03,D-0003,,,LT-9m-PCC,W-19,560078,KSPDB-SD07-D-0003-158
P-000159,12.969246,77.578749,F-07-03,D-0003,,,LT-8m-Steel,W-34,560078,KSPDB-SD07-D-0003-159
P-000160,12.969108,77.578385,F-07-03,D-0003,,,LT-9m-PCC,W-51,560078,KSPDB-SD07-D-0003-160
P-000161,12.969082,77.578404,F-07-03,D-0003,,,LT-9m-PCC,W-97,560078,KSPDB-SD07-D-0003-161
P-000162,12.96894,77.57857,F-07-03,D-0003,,,LT-8m-PCC,W-18,560078,
P-000163,12.969253,77.578486,F-07-03,D-0003,,,LT-8m-PCC,W-77,560078,KSPDB-SD07-D-0003-163
P-000164,12.969012,77.578514,F-07-03,D-0003,,,LT-8m-PCC,W-87,560078,KSPDB-SD07-D-0003-164
P-000165,12.969031,77.578501,F-07-03,D-0003,,,LT-9m-PCC,W-96,560078,KSPDB-SD07-D-0003-165
P-000166,12.968858,77.578506,F-07-03,D-0003,,,LT-9m-PCC,W-50,560078,KSPDB-SD07-D-0003-166
P-000167,12.968965,77.578662,F-07-03,D-0003,,,LT-9m-PCC,W-45,560078,KSPDB-SD07-D-0003-167
P-000168,12.968871,77.578435,F-07-03,D-0003,,,LT-9m-PCC,W-41,560078,KSPDB-SD07-D-0003-168
P-000169,12.969126,77.578505,F-07-03,D-0003,,,LT-9m-PCC,W-67,560078,KSPDB-SD07-D-0003-169
P-000170,12.969013,77.578435,F-07-03,D-0003,,,LT-8m-Steel,W-19,560078,
P-000171,12.968998,77.578545,F-07-03,D-0003,,,LT-8m-Steel,W-72,560078,
P-000172,12.968788,77.578482,F-07-03,D-0003,,,LT-8m-Steel,W-80,560078,KSPDB-SD07-D-0003-172
P-000173,12.968855,77.578573,F-07-03,D-0003,,,LT-8m-Steel,W-36,,KSPDB-SD07-D-0003-173
P-000174,12.9689,77.578421,F-07-03,D-0003,,,LT-9m-PCC,W-44,560078,KSPDB-SD07-D-0003-174
P-000175,12.968618,77.578369,F-07-03,D-0003,,,LT-8m-PCC,W-79,560078,KSPDB-SD07-D-0003-175
P-000176,12.968776,77.578499,F-07-03,D-0003,,,LT-9m-PCC,W-24,560078,KSPDB-SD07-D-0003-176
P-000177,12.968953,77.578558,F-07-03,D-0003,,,LT-8m-Steel,W-44,560078,KSPDB-SD07-D-0003-177
P-000178,12.969055,77.578329,F-07-03,D-0003,,,LT-8m-Steel,W-98,560078,KSPDB-SD07-D-0003-178
P-000179,12.96875,77.57841,F-07-03,D-0003,,,LT-9m-PCC,W-19,560078,KSPDB-SD07-D-0003-179
P-000180,12.968793,77.578335,F-07-03,D-0003,,,LT-8m-Steel,W-52,560078,KSPDB-SD07-D-0003-180
P-000181,12.969166,77.578429,F-07-03,D-0003,,,LT-8m-PCC,W-23,560078,KSPDB-SD07-D-0003-181
P-000182,12.969075,77.578474,F-07-03,D-0003,,,LT-8m-Steel,W-52,560078,KSPDB-SD07-D-0003-182
P-000183,12.968627,77.578146,F-07-03,D-0003,,,LT-9m-PCC,W-75,560078,KSPDB-SD07-D-0003-183
P-000184,12.968687,77.578522,F-07-03,D-0003,,,LT-8m-PCC,W-69,560078,
P-000185,12.968733,77.578628,F-07-03,D-0003,,,LT-8m-Steel,W-59,560078,KSPDB-SD07-D-0003-185
P-000186,12.968706,77.578581,F-07-03,D-0003,,,LT-9m-PCC,W-91,560078,
P-000187,12.969222,77.578403,F-07-03,D-0003,,,LT-9m-PCC,W-95,560078,KSPDB-SD07-D-0003-187
P-000188,12.968637,77.578469,F-07-03,D-0003,,,LT-8m-PCC,W-12,560078,KSPDB-SD07-D-0003-188
P-000189,12.968745,77.578529,F-07-03,D-0003,,,LT-8m-Steel,W-21,560078,KSPDB-SD07-D-0003-189
P-000190,12.96905,77.578424,F-07-03,D-0003,,,LT-8m-PCC,W-63,560078,
P-000191,12.968612,77.578575,F-07-03,D-0003,,,LT-9m-PCC,W-93,560078,KSPDB-SD07-D-0003-191
P-000192,12.968439,77.578556,F-07-03,D-0003,,,LT-8m-Steel,W-71,560078,KSPDB-SD07-D-0003-192
P-000193,12.968831,77.578418,F-07-03,D-0003,,,LT-8m-PCC,W-41,560078,KSPDB-SD07-D-0003-193
P-000194,12.968568,77.578374,F-07-03,D-0003,,,LT-8m-Steel,W-73,560078,KSPDB-SD07-D-0003-194
P-000195,12.96874,77.578253,F-07-03,D-0003,,,LT-9m-PCC,W-60,,KSPDB-SD07-D-0003-195
P-000196,12.968987,77.578321,F-07-03,D-0003,,,LT-8m-PCC,W-45,560078,KSPDB-SD07-D-0003-196
P-000197,12.968696,77.578467,F-07-03,D-0003,,,LT-9m-PCC,W-37,560078,KSPDB-SD07-D-0003-197
P-000198,12.968593,77.578085,F-07-03,D-0003,,,LT-9m-PCC,W-32,560078,
P-000199,12.96879,77.578041,F-07-03,D-0003,,,LT-9m-PCC,W-67,560078,KSPDB-SD07-D-0003-199
P-000200,12.968724,77.578216,F-07-03,D-0003,,,LT-8m-Steel,W-83,,KSPDB-SD07-D-0003-200
P-000201,12.968848,77.578653,F-07-03,D-0003,,,LT-8m-Steel,W-27,560078,KSPDB-SD07-D-0003-201
P-000202,12.968839,77.578093,F-07-03,D-0003,,,LT-9m-PCC,W-77,560078,KSPDB-SD07-D-0003-202
P-000203,12.968826,77.578701,F-07-03,D-0003,,,LT-8m-Steel,W-30,560078,KSPDB-SD07-D-0003-203
P-000204,12.968862,77.577922,F-07-03,D-0003,,,LT-8m-PCC,W-19,560078,KSPDB-SD07-D-0003-204
P-000205,12.968773,77.57879,F-07-03,D-0003,,,LT-9m-PCC,W-79,560078,KSPDB-SD07-D-0003-205
P-000206,12.968832,77.578982,F-07-03,D-0003,,,LT-8m-Steel,W-67,560078,KSPDB-SD07-D-0003-206
P-000207,12.968807,77.579041,F-07-03,D-0003,,,LT-8m-PCC,W-80,560078,
P-000208,12.968912,77.578896,F-07-03,D-0003,,,LT-8m-Steel,W-52,560078,
P-000209,12.968977,77.57783,F-07-03,D-0003,,,LT-8m-Steel,W-55,560078,KSPDB-SD07-D-0003-209
P-000210,12.985794,77.599701,F-07-03,D-0004,1,,LT-8m-PCC,W-18,560078,KSPDB-SD07-D-0004-210
P-000211,12.985851,77.599816,F-07-03,D-0004,2,P-000210,LT-8m-Steel,W-76,560078,
P-000212,12.985961,77.599702,F-07-03,D-0004,2,P-000210,LT-8m-Steel,W-19,560078,KSPDB-SD07-D-0004-212
P-000213,12.985883,77.599677,F-07-03,D-0004,3,P-000211,LT-8m-Steel,W-66,560078,KSPDB-SD07-D-0004-213
P-000214,12.985954,77.599598,F-07-03,D-0004,2,P-000210,LT-8m-PCC,W-74,560078,KSPDB-SD07-D-0004-214
P-000215,12.985932,77.599505,F-07-03,D-0004,4,P-000213,LT-9m-PCC,W-15,560078,KSPDB-SD07-D-0004-215
P-000216,12.985874,77.599508,F-07-03,D-0004,3,P-000214,LT-8m-Steel,W-96,560078,KSPDB-SD07-D-0004-216
P-000217,12.985842,77.599807,F-07-03,D-0004,4,P-000213,LT-8m-PCC,W-59,560078,KSPDB-SD07-D-0004-217
